,precipitation,temp_max,temp_min,wind,weather
113,0.0,21.7,8.9,3.5,sun
114,4.3,13.9,10.0,2.8,rain
115,10.7,16.7,8.9,2.6,rain
116,3.8,13.9,6.7,5.2,rain
117,0.8,13.3,6.1,4.8,rain
118,0.0,16.1,8.3,2.5,drizzle
119,4.3,15.6,8.9,1.6,rain
120,4.3,12.8,7.2,8.0,rain
121,0.5,11.7,6.1,6.4,rain
122,0.5,13.3,5.6,2.5,rain
123,18.5,11.1,7.2,3.4,rain
124,1.8,12.2,6.1,4.6,rain
125,0.0,13.3,5.0,2.3,sun
126,0.0,17.8,5.0,2.4,sun
127,0.0,23.9,6.1,2.2,sun
128,0.0,18.3,9.4,3.0,sun
129,0.0,13.3,6.7,3.9,rain
130,0.0,14.4,3.9,3.0,sun
131,0.0,18.3,4.4,4.3,sun
132,0.0,24.4,6.7,3.4,sun
133,0.0,25.6,9.4,4.2,sun
134,0.0,26.7,12.8,3.8,sun
135,0.0,24.4,9.4,4.1,drizzle
136,0.0,19.4,9.4,3.5,sun
137,0.0,17.8,6.7,2.9,rain
138,0.0,15.6,7.8,3.1,rain
139,0.0,19.4,7.2,1.5,sun
140,6.4,14.4,11.7,1.3,rain
141,14.0,16.7,10.0,4.0,rain
142,6.1,12.8,8.9,4.8,rain
143,0.3,14.4,8.9,6.3,rain
144,0.0,17.2,8.9,3.3,rain
145,0.0,22.2,8.9,3.1,rain
146,0.0,22.2,8.9,3.6,sun
147,0.0,17.2,11.7,3.7,sun
148,0.0,16.7,10.0,3.4,rain
149,0.0,16.1,7.8,1.8,sun
150,0.3,18.9,11.1,1.5,rain
151,3.8,17.8,12.2,2.7,rain
152,6.6,20.0,12.8,3.7,rain
153,0.3,18.9,10.6,3.7,rain
154,0.0,17.2,9.4,2.9,sun
155,1.3,12.8,8.9,3.1,rain
156,16.0,13.3,8.3,3.3,rain
157,0.0,16.1,6.1,3.4,sun
158,16.5,16.1,8.9,3.5,rain
159,1.5,15.0,8.3,3.0,rain
160,0.0,17.2,8.3,4.7,rain
161,0.0,18.9,10.0,2.9,sun
162,0.0,23.3,10.0,1.8,rain
163,0.8,18.3,12.8,3.9,rain
164,0.0,16.1,11.1,4.3,sun
165,0.0,17.2,10.0,2.7,sun
166,0.0,22.2,9.4,1.7,sun
167,0.0,21.1,15.0,4.1,rain
168,0.0,18.9,11.7,6.4,sun
169,3.0,17.2,10.0,3.8,rain
170,1.0,19.4,10.0,3.0,rain
171,0.0,24.4,10.0,3.0,sun
172,0.0,23.9,11.7,2.1,sun
173,15.7,13.9,11.7,1.9,rain
174,8.6,15.6,9.4,2.5,rain
175,0.0,19.4,9.4,2.0,drizzle
176,0.5,19.4,11.1,3.1,rain
177,0.0,18.3,10.6,3.4,rain
178,0.0,22.8,8.9,1.8,sun
179,0.0,22.2,11.7,2.5,rain
180,0.3,21.7,15.0,1.9,rain
181,3.0,20.0,13.3,2.4,rain
182,0.0,20.0,12.2,2.3,rain
183,2.0,18.9,11.7,2.1,rain
184,5.8,18.3,10.6,6.0,rain
185,0.0,20.6,9.4,3.8,sun
186,0.0,24.4,10.6,3.1,drizzle
187,0.0,25.0,11.1,2.1,sun
188,0.0,26.7,12.8,3.8,sun
189,0.0,28.3,14.4,2.8,rain
190,1.5,25.0,12.8,2.0,rain
191,0.0,23.9,11.1,2.3,drizzle
192,0.0,27.8,13.3,2.9,fog
193,0.0,25.6,13.3,2.7,drizzle
194,0.5,23.3,13.9,2.2,rain
195,0.0,25.0,15.0,2.2,rain
196,0.0,18.9,13.3,3.8,rain
197,0.3,26.1,13.3,2.5,rain
198,0.0,21.7,15.0,2.6,sun
199,0.0,21.1,14.4,2.9,sun
200,0.0,25.0,14.4,2.2,sun
201,15.2,19.4,13.9,4.0,rain
202,0.0,23.9,13.9,2.3,sun
203,1.0,20.6,12.2,3.9,rain
204,0.0,18.9,11.1,3.3,rain
205,0.0,23.3,12.2,4.3,sun
206,0.0,26.7,12.8,2.6,sun
207,0.0,25.6,12.8,2.2,drizzle
208,0.0,18.9,13.9,2.8,drizzle
209,0.0,22.2,13.3,1.7,drizzle
210,0.0,22.8,15.0,2.0,sun
211,0.0,19.4,13.3,3.0,sun
212,0.0,22.8,13.9,2.8,sun
213,0.0,23.9,13.3,2.2,drizzle
214,0.0,23.3,12.2,2.5,sun
215,0.0,27.2,12.8,3.9,sun
216,0.0,33.9,16.7,3.7,sun
217,0.0,33.9,17.8,1.9,sun
218,0.0,28.3,15.6,2.5,rain
219,0.0,21.1,15.0,2.6,drizzle
220,0.0,22.2,15.0,3.1,sun
221,0.0,24.4,14.4,3.8,drizzle
222,0.0,25.6,12.2,2.3,sun
223,0.0,28.3,13.3,2.5,sun
224,0.0,30.6,15.0,3.0,sun
225,0.0,30.6,15.0,2.8,sun
226,0.0,28.9,13.9,2.8,sun
227,0.0,31.1,16.7,4.7,sun
228,0.0,34.4,18.3,2.8,sun
229,0.0,32.8,16.1,1.8,sun
230,0.0,21.7,14.4,3.0,drizzle
231,0.0,23.3,15.0,2.7,drizzle
232,0.0,25.6,15.0,1.9,sun
233,0.0,23.3,13.3,3.0,rain
234,0.0,22.2,13.3,2.3,sun
235,0.0,21.1,13.9,3.8,sun
236,0.0,22.2,10.0,3.3,sun
237,0.0,26.1,11.7,3.2,sun
238,0.0,21.1,12.2,3.4,sun
239,0.0,23.9,13.3,1.8,sun
240,0.0,22.8,12.2,3.2,sun
241,0.0,22.8,13.3,2.4,sun
242,0.0,22.8,12.8,1.9,sun
243,0.0,22.2,10.6,2.9,sun
244,0.0,21.7,10.6,2.1,sun
245,0.0,21.1,10.0,2.0,sun
246,0.0,22.8,12.8,3.3,sun
247,0.0,24.4,11.1,3.1,sun
248,0.0,26.1,11.7,2.6,sun
249,0.0,28.3,14.4,4.2,sun
250,0.0,32.2,13.3,3.1,sun
251,0.0,25.0,13.3,3.0,sun
252,0.3,18.9,13.9,5.0,rain
253,0.3,20.0,11.7,3.9,rain
254,0.0,20.0,8.9,4.2,sun
255,0.0,22.2,10.0,5.6,sun
256,0.0,27.8,11.7,3.6,sun
257,0.0,26.1,11.1,1.5,sun
258,0.0,22.2,11.1,1.9,sun
259,0.0,24.4,9.4,2.3,sun
260,0.0,27.8,11.7,2.2,fog
261,0.0,27.8,11.7,1.4,sun
262,0.0,23.9,11.7,1.9,drizzle
263,0.0,19.4,10.0,2.5,drizzle
264,0.0,16.1,12.8,2.1,drizzle
265,0.3,19.4,11.7,1.1,rain
266,0.0,19.4,10.0,1.4,fog
267,0.0,21.1,10.0,1.8,fog
268,0.0,19.4,11.1,1.7,sun
269,0.0,19.4,9.4,1.7,drizzle
270,0.0,22.8,10.0,1.7,drizzle
271,0.0,25.0,12.2,1.1,rain
272,0.0,20.6,12.2,4.3,sun
273,0.0,21.1,7.8,3.1,sun
274,0.0,23.3,8.9,3.0,sun
275,0.0,17.8,10.0,4.1,sun
276,0.0,18.9,7.8,7.3,sun
277,0.0,18.9,8.3,6.5,sun
278,0.0,21.7,8.9,5.7,sun
279,0.0,23.9,7.8,5.1,sun
280,0.0,23.9,7.8,1.3,sun
281,0.0,21.1,7.8,1.9,sun
282,0.0,16.1,8.9,1.6,drizzle
283,0.0,12.2,8.3,1.4,drizzle
284,0.0,13.9,7.2,1.3,drizzle
285,2.0,13.9,8.9,4.6,rain
286,4.8,15.6,12.2,3.9,rain
287,16.5,17.8,13.3,3.4,rain
288,7.9,17.2,11.1,4.6,rain
289,0.0,16.1,8.3,5.5,sun
290,0.0,14.4,6.1,1.6,sun
291,20.8,17.8,6.7,2.0,rain
292,4.8,15.0,9.4,5.3,rain
293,0.5,11.1,6.1,5.7,rain
294,6.4,11.7,4.4,2.7,rain
295,8.9,7.8,3.3,2.6,rain
296,0.0,11.1,5.6,3.0,rain
297,7.1,11.7,6.1,2.1,rain
298,0.0,11.7,6.7,1.5,sun
299,1.5,11.1,7.2,2.5,rain
300,23.1,14.4,9.4,5.1,rain
301,6.1,14.4,10.0,3.8,rain
302,10.9,15.6,10.0,4.9,rain
303,34.5,15.0,12.2,2.8,rain
304,14.5,15.6,11.1,2.7,rain
305,9.7,15.0,10.6,3.0,rain
306,5.6,15.0,10.6,1.0,rain
307,0.5,15.6,11.1,3.6,rain
308,8.1,17.8,12.8,3.8,rain
309,0.8,15.0,7.8,4.0,rain
310,0.3,12.8,6.7,3.5,rain
311,0.0,12.2,3.9,3.4,rain
312,0.0,10.0,1.1,3.4,rain
313,0.0,8.9,1.1,2.0,rain
314,0.0,7.8,-0.6,2.2,sun
315,15.2,8.9,1.1,3.0,rain
316,3.6,12.8,6.1,3.0,rain
317,5.3,11.1,7.8,2.5,rain
318,0.8,11.1,5.0,2.6,rain
319,0.0,9.4,2.8,2.4,drizzle
320,5.6,9.4,2.2,1.6,rain
321,6.1,12.2,6.1,5.3,rain
322,7.9,10.0,6.1,4.9,rain
323,54.1,13.3,8.3,6.0,rain
324,3.8,11.1,7.2,4.2,rain
325,11.2,8.3,3.9,5.5,rain
326,0.0,8.9,2.8,1.5,rain
327,32.0,9.4,6.1,2.4,rain
328,0.0,8.9,3.9,1.2,rain
329,0.0,8.3,1.1,3.6,drizzle
330,0.0,9.4,1.7,3.8,fog
331,0.0,10.0,1.7,1.5,sun
332,2.8,9.4,2.2,2.9,rain
333,1.5,12.8,7.8,4.2,rain
334,35.6,15.0,7.8,4.6,rain
335,4.1,13.3,8.3,5.5,rain
336,19.6,8.3,7.2,6.2,rain
337,13.0,9.4,7.2,4.4,rain
338,14.2,11.7,7.2,6.2,rain
339,1.5,8.9,4.4,5.0,rain
340,1.5,7.2,6.1,5.1,rain
341,1.0,7.8,3.3,4.6,rain
342,0.0,6.7,3.3,2.0,sun
343,1.5,6.7,2.8,2.1,rain
344,0.5,7.2,5.6,1.8,rain
345,3.0,7.8,5.6,4.5,rain
346,8.1,6.7,4.4,2.0,rain
347,2.3,7.2,3.3,2.8,rain
348,7.9,6.1,1.1,1.7,rain
349,5.3,4.4,0.6,5.1,snow
350,22.6,6.7,3.3,5.5,snow
351,2.0,8.3,1.7,9.5,rain
352,3.3,3.9,0.6,5.3,snow
353,13.7,8.3,1.7,5.8,snow
354,13.2,7.2,0.6,3.7,rain
355,1.8,8.3,-1.7,1.7,rain
356,3.3,8.3,3.9,3.5,rain
357,6.6,7.2,3.3,2.5,rain
358,0.3,5.6,2.8,2.8,rain
359,13.5,5.6,2.8,4.2,snow
360,4.6,6.7,3.3,4.9,rain
361,4.1,7.8,3.3,3.2,rain
362,0.0,8.3,3.9,1.7,rain
363,1.5,5.0,3.3,1.7,rain
364,0.0,4.4,0.0,1.8,drizzle
365,0.0,3.3,-1.1,2.0,drizzle
366,0.0,5.0,-2.8,2.7,sun
367,0.0,6.1,-1.1,3.2,sun
368,4.1,6.7,-1.7,3.0,rain
369,2.5,10.0,2.2,2.8,rain
370,3.0,6.7,4.4,3.1,rain
371,2.0,7.2,2.8,3.0,rain
372,2.3,10.0,4.4,7.3,rain
373,16.3,11.7,5.6,6.3,rain
374,38.4,10.0,1.7,5.1,rain
375,0.3,3.3,-0.6,2.1,snow
376,0.0,2.8,-2.8,1.9,drizzle
377,0.0,2.8,-3.9,2.0,sun
378,0.0,2.2,-4.4,1.5,sun
379,0.0,3.3,-2.2,1.3,sun
380,0.0,6.7,-0.6,2.3,sun
381,0.0,6.1,-3.9,1.8,drizzle
382,0.0,3.9,-2.8,1.0,drizzle
383,0.0,3.3,-1.1,1.3,drizzle
384,0.0,1.1,-0.6,1.9,drizzle
385,0.0,3.3,-0.6,2.1,drizzle
386,0.0,2.2,-1.7,1.1,drizzle
387,0.0,3.3,-1.7,0.6,drizzle
388,5.1,7.2,2.2,3.1,rain
389,5.8,7.2,1.1,2.6,rain
390,3.0,10.6,2.8,2.1,rain
391,2.3,8.3,3.9,4.5,rain
392,1.8,5.6,3.9,4.5,rain
393,7.9,6.1,3.3,3.2,rain
394,4.3,8.3,5.0,3.9,rain
395,3.6,8.9,6.7,3.9,rain
396,3.0,9.4,7.2,4.0,rain
397,0.3,11.7,5.0,2.9,rain
398,0.0,6.1,2.8,2.0,drizzle
399,2.3,8.9,2.8,2.9,rain
400,0.0,10.6,6.7,2.6,rain
401,3.3,10.0,6.7,5.1,rain
402,1.0,10.6,6.1,4.5,rain
403,1.3,9.4,3.3,4.1,rain
404,0.0,7.8,2.2,1.3,sun
405,0.3,8.3,4.4,1.3,rain
406,0.0,8.9,1.7,2.0,drizzle
407,0.3,8.3,4.4,1.4,rain
408,1.0,11.1,7.2,5.6,rain
409,2.3,9.4,7.2,4.1,rain
410,1.0,9.4,5.6,2.2,rain
411,0.0,13.3,5.0,2.4,drizzle
412,0.0,11.1,3.9,5.6,rain
413,0.0,9.4,4.4,3.4,rain
414,0.0,7.8,3.9,1.9,rain
415,0.0,10.6,1.7,3.4,sun
416,1.5,7.8,1.1,2.1,rain
417,0.5,6.7,3.9,6.2,rain
418,9.4,7.8,3.9,8.1,rain
419,0.3,10.0,3.9,4.6,rain
420,0.0,8.9,5.0,5.5,rain
421,2.3,10.6,3.3,7.1,rain
422,0.5,8.9,3.9,3.8,rain
423,4.6,10.0,4.4,1.8,rain
424,8.1,11.7,6.7,3.8,rain
425,4.1,15.0,11.1,5.4,rain
426,0.8,13.9,5.0,4.5,rain
427,0.0,11.1,2.2,2.8,sun
428,0.0,13.3,0.0,3.9,sun
429,0.0,9.4,6.1,2.4,rain
430,11.9,7.2,5.0,4.1,rain
431,7.4,12.2,5.0,2.5,rain
432,0.0,11.7,2.2,2.6,drizzle
433,0.0,12.8,1.1,1.3,fog
434,0.8,7.8,3.9,1.6,rain
435,1.3,10.6,6.1,1.1,rain
436,2.0,12.8,10.0,5.7,rain
437,2.3,11.7,9.4,3.7,rain
438,2.8,11.7,9.4,3.0,rain
439,0.0,14.4,8.9,4.3,rain
440,4.3,10.6,4.4,6.4,rain
441,0.0,8.9,3.9,6.1,sun
442,0.0,11.7,3.9,5.9,rain
443,11.7,12.8,1.7,3.4,rain
444,9.9,11.1,4.4,7.6,rain
445,8.1,10.0,2.2,4.9,snow
446,0.0,9.4,0.6,2.2,sun
447,0.0,10.0,1.1,2.6,sun
448,0.0,12.2,0.6,2.1,sun
449,0.0,16.7,4.4,2.8,sun
450,0.0,16.7,6.1,1.7,sun
451,0.3,13.3,7.2,1.6,rain
452,2.0,16.1,8.3,1.3,rain
453,0.0,18.3,7.8,2.5,rain
454,0.0,20.0,5.6,4.4,drizzle
455,0.0,20.6,6.7,2.9,sun
456,0.0,17.2,8.3,3.6,sun
457,0.0,13.9,8.9,2.2,sun
458,0.0,16.7,7.8,1.6,sun
459,8.4,14.4,10.0,3.0,fog
460,18.5,13.9,10.0,5.6,fog
461,12.7,12.2,7.2,5.0,fog
462,39.1,8.3,5.0,3.9,fog
463,0.8,13.3,6.1,3.1,fog
464,0.0,12.2,6.1,2.4,sun
465,9.4,15.0,8.9,6.4,sun
466,1.5,12.2,6.7,3.8,fog
467,9.7,7.8,4.4,4.6,fog
468,9.4,10.6,3.3,5.7,fog
469,5.8,12.8,4.4,2.3,fog
470,0.0,13.9,4.4,2.4,fog
471,0.3,13.9,3.3,2.6,sun
472,0.0,15.0,3.9,3.3,drizzle
473,5.3,11.7,6.7,4.0,fog
474,20.6,13.3,9.4,4.9,fog
475,0.0,13.9,8.3,5.8,sun
476,3.3,12.2,6.7,4.1,sun
477,0.0,16.1,5.0,4.3,sun
478,0.0,17.8,3.9,2.8,sun
479,0.0,21.1,6.1,3.0,sun
480,0.0,21.7,6.7,1.1,sun
481,0.0,20.6,8.3,2.2,fog
482,0.0,13.9,10.6,5.9,sun
483,1.0,15.0,9.4,5.2,drizzle
484,3.8,13.9,6.7,4.2,fog
485,0.0,12.8,4.4,2.4,sun
486,0.0,18.3,3.3,3.1,sun
487,0.0,20.6,6.7,4.0,sun
488,0.0,21.7,9.4,4.9,sun
489,0.0,25.0,11.1,6.5,sun
490,0.0,28.9,11.7,5.3,sun
491,0.0,30.6,12.2,2.0,sun
492,0.0,20.6,11.1,3.3,sun
493,0.0,19.4,11.1,1.9,sun
494,0.0,22.8,10.0,1.3,sun
495,0.0,26.1,9.4,1.0,sun
496,0.0,27.2,12.2,2.6,sun
497,6.6,21.7,13.9,3.9,fog
498,3.3,18.9,9.4,5.0,sun
499,0.0,18.3,7.8,2.4,sun
500,1.0,17.2,8.9,2.3,fog
501,0.0,21.7,12.2,2.7,fog
502,0.5,17.2,11.7,3.7,sun
503,0.0,16.7,11.1,2.9,sun
504,0.0,18.3,10.6,2.3,sun
505,0.0,19.4,9.4,1.8,sun
506,13.7,15.6,8.3,4.8,fog
507,13.7,11.1,7.2,3.0,fog
508,4.1,12.2,6.7,1.9,fog
509,0.3,16.7,8.9,2.7,sun
510,0.0,17.8,10.0,2.7,sun
511,1.5,18.3,10.6,2.2,fog
512,9.7,16.7,11.1,3.1,fog
513,0.5,17.2,11.7,2.8,fog
514,5.6,16.1,9.4,4.0,fog
515,0.0,16.7,9.4,5.3,sun
516,0.0,19.4,11.1,2.5,sun
517,0.0,22.8,12.2,2.5,sun
518,1.0,20.6,12.2,3.1,sun
519,0.0,22.2,11.1,2.9,sun
520,0.0,26.1,12.2,3.4,sun
521,0.0,26.7,14.4,3.1,sun
522,0.0,26.7,12.2,2.5,sun
523,0.0,21.7,13.3,3.2,sun
524,0.0,20.6,12.8,3.1,sun
525,0.0,20.6,11.1,3.7,sun
526,0.0,21.7,11.7,3.2,sun
527,0.0,20.0,10.0,5.7,sun
528,0.3,20.6,11.7,4.2,sun
529,0.0,21.1,11.7,2.6,sun
530,0.0,20.0,12.2,3.7,sun
531,0.0,25.6,10.0,2.9,sun
532,0.0,23.9,12.8,3.4,sun
533,0.0,25.6,13.9,3.0,sun
534,0.3,23.3,13.3,3.4,fog
535,0.0,20.0,12.8,3.7,sun
536,3.0,17.2,12.8,5.0,sun
537,0.3,20.6,12.2,1.5,sun
538,0.0,25.6,11.7,1.7,sun
539,7.9,22.2,15.0,2.1,fog
540,4.8,21.1,13.9,3.7,fog
541,9.9,23.3,14.4,2.8,sun
542,2.0,22.2,15.0,2.3,fog
543,3.6,21.1,16.7,1.3,fog
544,0.0,30.6,16.1,2.2,sun
545,0.0,30.0,18.3,1.7,sun
546,0.0,33.9,17.2,2.5,sun
547,0.0,31.7,18.3,2.3,sun
548,0.0,28.3,15.6,3.0,sun
549,0.0,26.1,16.7,3.2,sun
550,0.0,21.7,13.9,2.2,fog
551,0.0,23.3,13.9,2.6,sun
552,0.0,26.1,13.3,2.2,sun
553,0.0,23.9,13.9,2.9,sun
554,0.0,26.7,13.3,2.8,sun
555,0.0,30.0,15.0,2.5,sun
556,0.0,22.2,13.9,2.6,sun
557,0.0,22.8,12.2,3.0,sun
558,0.0,19.4,13.3,2.2,sun
559,0.0,26.1,11.1,3.1,sun
560,0.0,27.8,12.8,3.0,sun
561,0.0,27.8,14.4,4.6,sun
562,0.0,31.1,18.3,4.1,sun
563,0.0,22.2,15.0,3.7,rain
564,0.0,26.1,13.9,2.0,sun
565,0.0,27.8,13.3,1.9,sun
566,0.0,25.0,13.3,2.0,sun
567,0.0,23.9,12.8,2.3,sun
568,0.0,26.1,13.3,2.4,fog
569,0.0,31.1,13.9,3.0,sun
570,0.0,31.1,14.4,2.5,sun
571,0.0,31.1,12.8,2.3,sun
572,0.0,31.1,14.4,2.9,sun
573,0.0,25.6,12.8,2.6,sun
574,0.0,21.1,12.2,3.4,fog
575,0.0,25.0,13.3,1.4,sun
576,0.0,25.0,13.3,2.8,sun
577,0.0,21.7,13.3,1.8,sun
578,0.0,20.6,13.3,3.9,sun
579,2.0,17.2,15.0,2.0,sun
580,0.0,25.0,15.6,2.4,fog
581,0.0,28.9,15.0,3.4,sun
582,0.0,30.0,15.0,2.1,sun
583,0.0,30.6,13.9,1.4,sun
584,0.0,31.1,13.9,1.9,sun
585,0.0,28.3,14.4,2.5,sun
586,0.0,28.3,14.4,2.1,rain
587,2.3,25.6,15.0,2.9,sun
588,0.0,25.0,14.4,2.9,sun
589,0.0,25.6,16.1,1.9,sun
590,0.0,27.8,15.0,1.8,sun
591,0.8,27.2,15.0,2.0,sun
592,1.8,21.1,17.2,1.0,sun
593,0.0,28.9,16.1,2.2,fog
594,0.0,25.6,17.2,3.0,sun
595,0.0,26.1,15.6,3.1,sun
596,0.0,26.7,15.6,3.0,sun
597,0.0,25.6,16.1,4.6,sun
598,0.0,27.8,15.0,4.3,sun
599,0.0,28.9,15.0,1.9,sun
600,0.0,25.0,16.1,4.1,sun
601,0.0,25.0,16.7,2.7,sun
602,0.3,22.2,16.1,2.6,sun
603,1.0,24.4,16.1,1.9,sun
604,1.3,26.7,17.2,1.4,sun
605,5.6,26.7,15.6,1.3,fog
606,19.3,23.9,18.3,3.0,sun
607,0.0,26.1,16.1,2.9,sun
608,0.0,27.8,13.9,2.6,sun
609,0.0,27.8,15.6,2.5,sun
610,0.0,27.8,17.2,2.1,sun
611,2.3,25.0,16.7,1.7,fog
612,0.3,22.8,16.1,2.4,fog
613,27.7,20.0,15.6,2.5,sun
614,21.3,21.7,16.1,2.6,fog
615,0.0,23.3,17.2,2.0,sun
616,0.0,26.7,14.4,1.5,fog
617,0.0,26.1,13.9,2.1,sun
618,0.0,26.7,15.0,3.7,sun
619,0.0,33.9,16.1,2.4,sun
620,0.0,25.6,15.0,1.7,sun
621,0.0,18.9,15.6,2.0,sun
622,0.0,21.7,15.6,1.4,fog
623,3.3,18.9,14.4,2.2,sun
624,0.3,21.7,15.0,4.3,fog
625,0.0,17.8,13.9,2.3,sun
626,0.0,21.1,13.3,2.5,sun
627,0.0,25.6,10.0,1.5,sun
628,3.6,23.3,13.3,3.0,fog
629,0.0,21.1,13.3,2.5,sun
630,13.5,17.2,13.3,5.5,fog
631,2.8,16.1,11.1,4.5,fog
632,0.0,17.8,10.0,2.6,sun
633,2.0,16.1,9.4,3.0,fog
634,0.0,17.2,7.2,2.2,sun
635,1.0,13.9,10.6,4.3,fog
636,43.4,16.7,11.7,6.0,fog
637,16.8,14.4,11.1,7.1,sun
638,18.5,13.9,10.0,6.3,fog
639,7.9,14.4,8.9,4.7,fog
640,5.3,12.8,9.4,2.4,fog
641,0.8,14.4,8.9,0.9,fog
642,0.0,17.8,5.6,1.1,sun
643,0.0,20.0,8.3,1.6,sun
644,4.1,22.8,7.8,2.6,fog
645,0.5,16.1,11.7,6.3,fog
646,6.9,13.9,7.8,3.0,rain
647,0.0,15.0,5.6,1.6,sun
648,1.0,14.4,8.3,1.7,fog
649,9.1,13.9,10.6,1.0,sun
650,1.0,14.4,8.9,2.2,fog
651,0.0,15.0,6.7,1.8,fog
652,0.0,15.6,3.9,1.6,sun
653,0.0,15.6,5.0,0.9,sun
654,0.0,12.8,8.9,2.7,fog
655,0.0,14.4,8.9,1.7,fog
656,0.0,12.8,7.2,1.2,sun
657,0.0,10.6,7.8,1.4,sun
